name,shortname,url,directory,logo,funded,tag
Andrew W. Mellon Foundation,mellon,http://www.mellon.org/,,,Crowdsourcing,
National Endowment for the Humanities,neh,http://www.neh.gov,,http://www.neh.gov/files/neh_logo_horizontal_rgb.jpg,,Networks in History
Stanford Humanities Center,shc,http://shc.stanford.edu,,http://www.stanford.edu/dept/SHC/cgi-bin/newsletter/files/SHC73_high.gif,Mapping the Republic of Letters,
Stanford University Libraries,library,http://library.stanford.edu,,http://library.stanford.edu/sites/all/themes/sulair_framework/logo.png,Mapping the Republic of Letters,
