title,start,people/0,people/1,people/2,people/3,people/4,brief,url,active,affiliation/0,people/5,people/6,people/7,affiliation/1
Mapping the Republic of Letters,Winter 2009,Paula Findlen,Dan Edelstein,Nicole Coleman,Giovanna Ceserani,Caroline Winterer,,http://republicofletters.stanford.edu,yes,Stanford,,,,
Networks in History,January 2013,Nicole Coleman,Dan Edelstein,Giorgio Caviglia,Ethan Jewett,Mark Braude,,/projects/networks-in-history,yes,Stanford,Maria Comsa,Glauco Mantegari,Eetu Mäkelä,
Palladio,January 2013,Nicole Coleman,Dan Edelstein,Giorgio Caviglia,Ethan Jewett,Mark Braude,,/projects/palladio,yes,Stanford,,,,
Piranesi,January 2013,Nicole Coleman,Dan Edelstein,Giorgio Caviglia,,,,/projects/piranesi,yes,Stanford,,,,
Writing Rights,Winter 2014,Keith Baker,Dan Edelstein,Jacquie Lorber-Kasunic,Kate Sweetapple,,,/projects/writing-rights/,yes,Stanford,,,,University of Technology at Sydney
Procope,Winter 2014,Maria Comsa,Dan Edelstein,Chloe Edmonson,Glauco Mantegari,Claude Willan,,/projects/procope/,yes,Stanford,,,,
The Art and Lives of Fernando Pessoa,Summer 2014,Vincent Barletta,Humberto Brito,Nicole Coleman,,,,/projects/pessoa/,yes,Stanford,,,,
Design for Endangered Languages,Winter 2015,Sarah Ogilvie,Gaia Scagnetti,Nicole Coleman,,,,/projects/endangeredlanguages/,yes,Stanford,,,,Pratt Institute
