event,host,date,title,presenters/0,image,topic/0,topic/1,slides,program,event-url,presenters/1,topic
Mapping the Republic of Letters: mapping practices as heuristic instruments for digital humanities,Université Rennes 2,2014-06-23T00:00:00.000Z,“Story of the Mapping the Republic of Letters project.”,Nicole Coleman,,palladio,mrofl,/slides/history-of-mrofl.html,/docs/rennes_2014.pdf,,,
Mapping the Republic of Letters: mapping practices as heuristic instruments for digital humanities,Université Rennes 2,2014-06-23T00:00:00.000Z,“Mapping heuristic practices for the Republic of Letters.”,Giorgio Caviglia,,palladio,mrofl,,/docs/rennes_2014.pdf,,,
openLAB,Metalab at Harvard,"April 23, 2014",,Dan Edelstein,/img/openlabharvard2014.jpg,,,,,,Giorgio Caviglia,palladio
Visualizing Data for Historical Research: An Introduction to Palladio,Harvard History department/Center for History and Economics,"April 24, 2014",,Dan Edelstein,http://upload.wikimedia.org/wikipedia/commons/f/f7/Harvard_1740_by_William_Burgis.jpg,,,,,,,palladio
Society for French Historical Studies,Université du Québec à Montréal,"April 25, 2014",,Dan Edelstein,http://www.societyforfrenchhistoricalstudies.net/SFHS.JPG,,,,,,,palladio
Humanities 2.0: New Tools for the Digital Age,"Department of Art History, UC Berkeley","April 4, 2014",,Dan Edelstein,/img/dh_symposium_berkeley.jpg,,,,,,Nicole Coleman,palladio
Empires of Knowledge,"Scientific Networks in the Early Modern World Workshop, Stanford","May 3, 2014",,Mark Braude,/img/empiresofknowledge.png,,,,,,,palladio
