fullname,firstname,lastname,department,img,projecttitle,description
Maria Comsa,Maria,Comsa,French Literature and Language,"https://cesta.smugmug.com/CESTA-BIOS/Affliliates/i-GkPMpzx/0/Th/maria%402x-Th.jpg",French 18th Century Society Theater,
Nicole DeBenedictis,Nicole,DeBenedictis,History,"https://cesta.smugmug.com/CESTA-BIOS/Affliliates/i-LJgtp2b/0/Th/silo%2Bvintage%2Bimage--graphicsfairy004b-Th.jpg",17th Century Italian Academies,
Hannah Marcus,Hannah,Marcus,History,"https://cesta.smugmug.com/CESTA-BIOS/Affliliates/i-XZ2C6VB/0/Th/marcus-Th.jpg",Correspondence of Galileo Galilei,
Claude Willan,Claude,Willan,English,"https://cesta.smugmug.com/CESTA-BIOS/Affliliates/i-vMbNRQc/0/Th/claude.willan-Th.jpg",John Locke's Correspondence Network,
Marcelo Aranda,Marcelo,Aranda,History,"https://cesta.smugmug.com/CESTA-BIOS/Affliliates/i-L4ZkWF2/0/Th/aranda-Th.jpg","An Intellectual Map of Science in the Spanish Empire, 1600-1810",
